character_name
Thor (Ultimate)
Thor Girl
Thunderball
Thunderbird (John Proudstar)
Thunderbird (Neal Shaara)
Thunderbolt (Bill Carver)
Thunderbolt Ross
Thunderbolts
Thundra
Tiger Shark
Tiger's Beautiful Daughter
Tigra (Greer Nelson)
Timeslip
Tinkerer
Tippy Toe
Titania
Titanium Man (Topolov)
Toad
Toad Men
Tomas
Tombstone
Tomorrow Man
Tony Stark
Toro (Thomas Raymond)
Toxin
Toxin (Eddie Brock)
Trauma
Trevor Fitzroy
Triathlon
Trish Tilby
Triton
True Believers
Turbo
Tusk
Two-Gun Kid
Tyger Tiger
Typhoid Mary
Tyrannus
U-Foes
U-Go Girl
U.S. Agent
Uatu The Watcher
Ulik
Ultimate Spider-Man (USM)
Ultimates
Ultimatum
Ultimo
Ultra-Adaptoid
Ultragirl (Earth-93060)
Ultron
Umar
Unicorn
Union Jack (Brian Falsworth)
Union Jack (Joseph Chapman)
Union Jack (Montgomery Falsworth)
Unus
Unus (Age of Apocalypse)
Unus (House of M)
Unus (Ultimate)
Valeria Richards
Valkyrie (Exiles)
Valkyrie (Samantha Parrington)
Valkyrie (Ultimate)
Vampiro
Vance Astro
Vanisher (Age of Apocalypse)
Vanisher (Telford Porter)
Vanisher (Ultimate)
Vapor
Vargas
Vector
Veda
Vengeance (Michael Badilino)
Venom (Flash Thompson)
Venom (Mac Gargan)
Venom (Ultimate)
Venus (Siren)
Venus Dee Milo
Vermin (Edward Whelan)
Vertigo (Savage Land Mutate)
Victor Mancha
Victor Von Doom
Vin Gonzales
Vindicator
Violations
Viper
Virginia Dare
Vision
Vivisector
Vulcan (Gabriel Summers)
Vulture (Adrian Toomes)
Vulture (Blackie Drago)
Wallflower
Wallop
Wallow
War (Abraham Kieros)
War Machine (Iron Man 3 - The Official Game)
War Machine (James Rhodes)
War Machine (Marvel: Avengers Alliance)
War Machine (Parnell Jacobs)
War Machine (Ultimate)
Warbird
Warbound
Warhawk (Mitchell Tanner)
Warlock (Janie Chin)
Warlock (Technarchy)
Warpath
Warren Worthington III
Warstar
Wasp
Wasp (Ultimate)
Wave (Wave)
Weapon Omega
Weapon X
Wendell Rand
Wendell Vaughn
Wendigo
Werewolf By Night
Whiplash (Anton Vanko)
Whiplash (Mark Scarlotti)
Whirlwind
Whistler
White Queen (Adrienne Frost)
White Tiger (Angela Del Toro)
White Tiger (USM)
Whizzer (Stanley Stewart)
Wiccan
Wild Child
Wild Child (Age of Apocalypse)
Wild Pack
Wildside
William Stryker
Wilson Fisk
Wind Dancer
Winter Soldier
Wither
Wolf Cub
Wolfpack
Wolfsbane
Wolfsbane (Age of Apocalypse)
Wolver-dok
Wolverine
Wolverine (LEGO Marvel Super Heroes)
Wolverine (Marvel War of Heroes)
Wolverine (Ultimate)
Wolverine (X-Men: Battle of the Atom)
Wonder Man
Wong
Wong (Ultimate)
Wraith
Wrecker
Wrecking Crew
X-23
X-51
X-Babies
X-Cutioner
X-Factor
X-Factor Investigations
X-Force
X-Man
X-Men
X-Men (Ultimate)
X-Ray (James Darnell)
X-Statix
X.S.E.
Xavin
Xorn (Kuan-Yin Xorn)
Yellow Claw
Yellowjacket (Hank Pym)
Yellowjacket (Rita DeMara)
Yondu
Young Avengers
Young X-Men
Zaladane
Zaran
Zarda
Zarek
Zeigeist
Zemo
Zeus
Zodiak
Zombie (Simon Garth)
Zuras
Zzzax
