Jyotsna Radhakrishnan,1.Raftaara - From "Lucifer",2.Muthu Mazha - Duet Version,3.Sukhamaanee Nilaavu,4.Karuppinazhaku,5.Melemanathu,6.Hridhayavum,7.Veyil Chilla,8.Kaathirunna,9.Aafat (Malayalam),10.Mehrubha - Version 1
June Banerjee,1.Mon Mane Na,2.Jhiri Jhiri,3.U La La (Female),4.Soniye Tu Janiye Tu,5.De Signal,6.Gum Hai Kisi Ke - Acoustic,7.Tor Naam Female,8.Chhauva Chhuvi Dyakho Hoye Gyalo (From "Om Shanti"),9.Deewana (Bonus Song),10.Chumbaki Aankhen
Kumar Sanu,1.Chura Ke Dil Mera (From "Main Khiladi Tu Anari"),2.Ae Kash Ke Hum,3.Tumsa Koi Pyaara,4.Sochenge Tumhe Pyar (From "Deewana"),5.Dheere Dheere Se Meri Zindagi Mein Aana (From "Aashiqui"),6.Ek Din Aap (From "Yes Boss"),7.Ladki Badi Anjani Hai,8.Tujhe Dekha To,9.Mera Dil Bhi Kitna Pagal Hai (From "Saajan"),10.Kitna Haseen Chehra (From "Dilwale")
Kalpana Raghavendar,1.Kodi Parakura Kaalam,2.Pogiren,3.Adho : Theme,4.Jigiru Jigiru,5.Thennattu Singame,6.Oyaa Oyaa,7.Thoda Chariche Samayam,8.Poda Poda Punnaakku,9.Pandathe Meesha Hey Mooliyalankaari,Kalpana Patowary,1.Gandi Baat,2.Aila Re Aila,3.Uga Hai Suraj Dev Chhath Geet,4.Baisara Beera,5.Aila Re Aila,6.Bahiyan Jo Hamari Pakadi,7.Dance the Night Away Mashup,8.Baba Harihar Nath Sonpur Me Holi Khele,9.Aila Re Aila (Remix),10.Chhod Dina Bahiya Maan Jayi Batiya (From "Jwala Mandi - Ek Prem Kahani")
Kanika Kapoor,1.Baby Doll,2.Chittiyaan Kalaiyaan,3.Luv Letter,4.Oo Bolega Ya Oo Oo Bolega (From "Pushpa The Rise Part - 01"),5.Lovely,6.Tukur Tukur,7.Zero Hour Mashup 2015(Remix By Dj Kiran Kamath),8.Punjabi Party Mashup,9.Paan Dukaniya (From "Bholaa"),10.Nachan Farrate (From "All Is Well")
Kanan Devi,1.Ghunghurba Baaje Saigal,2.Babul Mora Naihar Chhute Jaye,3.Zara Naino Se Naina,4.Dur Desh Ka Rehnewala,5.Toofan Mail Jay,6.Sakoon Dil Ka Mayassar-Duet,7.Aami Banaphool Go,8.Duniya Ye Duniya,9.Hum Dil Ko Dil Hum Ko,10.Ai Chand Chhup Na Jana
Kavita Krishnamurthy,1.Tu Cheez Badi Hain (From "Mohra"),2.Dilbar Dilbar (Remix),3.Koi Mil Gaya,4.Bole Chudiyan,5.Woh Ladki Hai Kahan,6.Neend Churayee Meri,7.Ammaye,8.Kaattrae En Vaasal - Wind,9.Jooma Chumma De De,10.Meri Duniya Hai
Kavita Seth,1.Rangisari (From "Jugjugg Jeeyo"),2.Iktara (From "Wake Up Sid"),3.Rangi Saari,4.Tum Hi Ho Bandhu,5.Iktara - Lofi Flip,6.Bombay Dreams (feat. Kavita Seth),7.Mere Sanam Ke Khwaab,8.Rangisari Lofi Mix,9.Jeete Hain Chal,10.Iktara - MTV Unplugged Version
K. B. Sundarambal,1.Ondranavan,2.Palanniappa Gnana Palam Nee,3.Ezhumalai Irukka,4.Andru Nee Veloondri - Virutham,5.Ariyathu Ariyathu,6.Gnana Pazhaththai,7.Pazhani Malaimeethiley,8.Munthu Thamizh,9.Vaazhkkai Ennum,10.Aruna Runam
Jamuna Rani,1.Kunguma Poove,2.Athikkai Kaai,3.Aidhurojula Pelli,4.Mama Mama Mama,5.Yaaradi Nee Mohini - Duet,6.Anatha Bhranthi Yena,7.Munthu Thamizh,8.Paattondru Ketten,9.O Devatha,10.Aruna Runam
