Singer Name,Song Name 1,Song Name 2,Song Name 3,Song Name 4,Song Name 5,Song Name 6,Song Name 7,Song Name 8,Song Name 9,Song Name 10
Kavita Seth,"1.Rangisari (From ""Jugjugg Jeeyo"")","2.Iktara (From ""Wake Up Sid"")",3.Tum Hi Ho Bandhu,4.Rangi Saari,5.Iktara - Lofi Flip,6.Rangisari Lofi Mix,7.Bombay Dreams (feat. Kavita Seth),8.Jeete Hain Chal,9.Uski Awaaz Aise Aati Hai,10.Iktara - MTV Unplugged Version
K. B. Sundarambal,1.Ondranavan,2.Palanniappa Gnana Palam Nee,3.Ezhumalai Irukka,4.Andru Nee Veloondri - Virutham,5.Ariyathu Ariyathu,6.Gnana Pazhaththai,7.Pazhani Malaimeethiley,8.Vaazhkkai Ennum,9.Aruna Runam,10.Munthu Thamizh
Jamuna Rani,1.Athikkai Kaai,2.Kunguma Poove,3.Aidhurojula Pelli,4.Mama Mama Mama,5.Yaaradi Nee Mohini - Duet,6.Anatha Bhranthi Yena,7.O Devatha,8.Paattondru Ketten,9.Aruna Runam,10.Munthu Thamizh
Lata Mangeshkar,1.Mere Khwabon Mein,2.Mera Dil Ye Pukare - Tu Aaja - Heartlock Mix,3.Tujhe Dekha To,4.Tere Liye,5.Dil To Pagal Hai,6.Bholi Si Surat,7.Aankhein Khuli,8.Are Re Are (Part-2),9.Aap Ki Ankhon Mein Kuch,10.Lag Ja Gale Se Phir
L. R. Eswari,1.Kalasala Kalasala,2.Poondamalli,3.Avalukkenna,4.Ukkadathu Papadame,5.Bhale Bhale Mogaadivoy,6.Mahamayi Samayapura,7.Naan Manthoppil,"8.Ammoru Thalliki - From ""Ammoru Thalli""",9.Karunai Ullam Kondavale,10.Muthumaari Ammanukku
Madhushree,1.Mallipoo,"2.Kalallo (From ""Virupaksha"")",3.Siragugal,4.Marudaani,5.Eppo Nee,6.Vaaji Vaaji,7.Nanbane,8.Un Pere Theriyadhu,9.Mahabali Maharudra,10.Inn Lamhon Ke Daaman Mein
Mahalakshmi Iyer,1.Bol Na Halke Halke,2.Falak Tak,3.Tainu Leke,4.Manasa,5.Laung Da Lashkara,6.Kurukku Siruthvalea (From Mudhalvan),7.Choododhu,8.Hey Shona,9.Sadka,"10.Velli Malare (From ""Jodi"")"
Mahathi,1.Mudhal Mazhai (From Bheema),2.Ammadi Aathadi,3.Thee Illai,4.Nenje Nenje,5.Neduvaali,6.Unakkenna Venum Sollu,7.Pudichirukku,"8.Puyalae Puyalae (From ""Kovil"")",9.Neekem Kaavaalo Cheppu,10.Paal Pappali
Maitrayee Patar,1.Alakananda,2.Moupiya,3.Gaane Gaane,4.Unnaxi,5.Tair Kotha,6.Baartalaap (Duet),7.Balimahi,8.Bhatiyali Xopun,9.Bhalpuwa,10.Jakoruwa
Malavika,1.Seena Thana,"2.Bommali (From ""Billa"")",3.Nuvvu Nenu,4.Untale Untale Nee Vente Untale,5.Cinema Choopistha Mama,6.Dang Dang - Soundtrack Version,7.Evarulerani,8.Hylessa,9.Paathukkulle,10.Aasa Patta
Malgudi Subha,"1.Mun Paniya (From ""Nandhaa"")","2.Thanga Thamarai Magalae (From ""Minsara Kanavu"")","3.Mudinepalli (From ""Gentleman"")","4.Thanga Thamarai (From ""Minsara Kanavu"")",5.Time To Party,6.Thanni Vachu Poona Vachu,7.Amma Brahma Devudo,"8.Akale - From ""Charlie""",9.Suvvi Suvvi Suwala,10.Namogudu Rampyari
Malvina Reynolds,1.Little Boxes,2.Little Boxes,3.Little Boxes,4.It Isn't Nice,5.Magic Penny,6.I Don't Mind Failing,7.What Have They Done to the Rain?,8.Love Is Something (The Magic Penny),9.What Have They Done to the Rain?,10.Little Red Hen
Mamta Sharma,1.Fevicol Se,2.Yaara,3.Munni Badnaam,4.Aa Re Pritam Pyaare,5.Bombay Ponnu,6.Anarkali Disco Chali,7.Tinku Jiya,8.Mera Dil Bhi Kitna Pagal Hai,9.Full Kick,10.Katto Gilehri
Manjari,1.Mozhikalum - Duet Version,"2.Chimmi Chimmi - From ""Urumi""","3.Aattinkarayorathe - From ""Rasathanthram""",4.Pinakkamano,5.Mazhavillin,"6.Aalilayum - From ""Veeralipattu""",7.Bhajan,8.Aa Oruthi,9.Chimmi Chimmi,10.Ennennum Unarave
Meghan Trainor,1.Made You Look,2.NO,3.Like I'm Gonna Lose You (feat. John Legend),4.Mother,5.Dear Future Husband,6.All About That Bass,7.Better When I'm Dancin',8.Me Too,9.Lips Are Movin,10.Title
Monali Thakur,1.Sawaar Loon,2.Khudaya Khair,3.Moh Moh Ke Dhaage (Female),4.Khwab Dekhe Sexy Lady,"5.Badri Ki Dulhania (Title Track) [From ""Badrinath Ki Dulhania""]",6.Zara Zara Touch Me,7.Anjaana Anjaani Ki Kahani,8.On Top of the World,9.Aga Bai,10.Tu Mohabbat Hai
Mridula Warrier,1.Mazhaye Toomazhaye,2.Hridayathin,"3.Neehaaram - From ""Enthada Saji""",4.Madhura Jeeva Ragam,5.Ee Mizhikalin,"6.Ambazham - From ""Ambazham""","7.Neeye Nenjil (From ""Mindiyum Paranjum"")",8.Oru Vaakkum,"9.Oru Mozhi Parayam - From ""IRA""","10.Chenthamara Theno - From ""916"""
Mubarak Begum,1.Mujhko Apne Gale Laga Lo,2.Kabhi Tanhaiyon Mein,3.Ham Haal-E-Dil Sunaenge,4.Jab Ishq Kahin Ho Jata Hai - Various,5.Wada Humse Kiya,6.Itne Qareeb Aake Bhi Kya Jane,7.Neend Ud Jaye Teri,8.Woh Na Aayenge Palat Kar,9.Devta Tum Ho Mera Sahara,10.Kuchh Ajnabi Se Aap Hain
Nanditha,1.Ee Chota Nuvvunna,2.I Just Love You Baby,3.Moda Modalu,"4.Neenu Banda Mele (From ""Krishna"")","5.Yaaro Kannalli (From ""Orata I Love You"")",6.Brahmamurari,7.Hoo Kanasa Jokali,"8.Ammammammo (From ""Neelakanta"")",9.Nanna Hrudaya,"10.Devaru Bareda (from ""Neelakanta"")"
Neeti Mohan,1.Ishq Wala Love,"2.Mere Yaaraa (From ""Sooryavanshi"")",3.Meri Jaan,4.Nainowale Ne,"5.Sapna Jahan (From ""Brothers"")",6.Fitoor,"7.Kaun Nachdi (From ""Sonu Ke Titu Ki Sweety"")","8.Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")","9.Bad Boy (From ""Saaho"")",10.Kashmir Main Tu Kanyakumari
Neha Kakkar,"1.Dil Ko Karaar Aaya (From ""Sukoon"")","2.Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","3.Dilbar (From ""Satyameva Jayate"")","4.O Saki Saki (From ""Batla House"")","5.Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",6.Taaron Ke Shehar,"7.Gali Gali (From ""Kgf Chapter 1"")",8.Kar Gayi Chull,"9.Main Tera Boyfriend (From ""Raabta"")",10.Baarish Mein Tum
Nihira Joshi Deshpande,1.Sajde,2.Sajde - LoFi Mix,3.Dhadak Dhadak,4.Tu Jarashi,5.Bhijun Gela Vara,6.Rang Laagyo,7.Sang Na Re Mana,8.Baawra,9.Phunkarichi Wadale,10.Tu Jarashi - Sad Version
Nikhita Gandhi,1.At My Worst (Nikhita Gandhi Remix),2.Barbaadiyan,"3.Munda Sona Hoon Main (From ""Shehzada"")",4.Kyaa Baat Haii 2.0,"5.Najaa (From ""Sooryavanshi"")",6.Aise Kyun,7.Sawarne Lage - Female Version,8.Naach Meri Rani,"9.Raabta (Title Track) [From ""Raabta""]",10.Oh Oh - The First Love of Tamizh
Nithyasree Mahadevan,1.Kanaa Kaangiren,2.Minsara Kanna,3.Meriseti Puvvaa,4.Om Nama Shivaya,"5.Sowkiyama Kannae (From ""Sangamam"")","6.Minsara Poove (From ""Padayappa"")",7.Raja Raja Kula,8.Vandhaen Vandhaen,9.Varam Nan Unai,10.Sri Lakshmi Aashtakam
Najim Arshad,1.Arikil,"2.Aaro Aaro Chare - From ""Ring Master""","3.Kannimalare Kanninazhake (From ""Ithihasa"")","4.Ente Pranayathin - From ""Chembada""","5.Kanavukalil - From ""Philips and the Monkey Pen""",6.Chenthengin,"7.Kanno Nilakayal - From ""Oru Yamandan Premakadha""",8.Thotte Thotte,9.Mazhanila,10.Vaaniluyare
P. Leela,1.Vanga Machan Vanga,2.Raavoyi Chanamama - Chandamma,3.Vaaraayo Vennilave,4.Kalavaramaaye Madhilo,5.Neevena Nanu Thalachinadhi,6.Manishi Maara Ledhu,7.Lahiri Laahiri Lo,8.Jagadnabhari Ramudu,9.Choopula Kalasina Subhavela,10.Aaha Inba Nilaavinile
